 ,Sample Id,R,Acquisition Time,QC Status,Dataset File,Method File,"Na KED 23/23
Helium KED_LowLow
(ppb)","Mg KED 24/24
Helium KED_LowLow
(ppb)","Al KED 27/27
Helium KED_LowLow
(ppb)","P Oshift 31/47
Oxygen DRC
(ppb)","S (34) -1 34/34
Helium KED_LowLow
(ppb)","K KED 39/39
Helium KED_LowLow
(ppb)","Ca KED 43/43
Helium KED_LowLow
(ppb)","V KED 51/51
Helium KED_LowLow
(ppb)","Cr (52) 52/52
Helium KED_LowLow
(ppb)","Cr (53) NH3 53/53
Ammonia DRC
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Mn Oshift 55/71
Oxygen DRC
(ppb)","Fe (56) KED 56/56
Helium KED_LowLow
(ppb)","Co KED 59/59
Helium KED_LowLow
(ppb)","Ni KED 60/60
Helium KED_LowLow
(ppb)","Cu (63) KED 63/63
Helium KED_LowLow
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As 75/75
(ppb)","As KED 75/75
Helium KED_LowLow
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (77) 77/77
(ppb)","Se (77) Oshift 77/93
Oxygen DRC
(ppb)","Se (78) Oshift 78/94
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Se (82) 82/82
(ppb)","Se (82) Oshift 82/98
Oxygen DRC
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Mo (95) OShift 95/127
Oxygen DRC
(ppb)",Rh (IS1) 103/103 (IS),"Rh (IS2) 103/103 (IS)
Oxygen DRC","Rh (IS4) 103/103 (IS)
Ammonia DRC","Rh (IS5) 103/103 (IS)
Ammonia DRC","Rh (IS6) 103/103 (IS)
Oxygen DRC","Rh (IS7) 103/103 (IS)
Helium KED_LowLow","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Cd (114) NH3 114/114
Ammonia DRC
(ppb)","Pb 208/208
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
121,10_15_21_W_6,,06/17/2023 00:21:56,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_W_6.770,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1820.236,1468.953,14.720,2.034,4891.676,491.366,8091.190,0.127,0.024,0.051,17.161,3.816,15.995,0.003,0.056,1.119,1.146,0.733,0.643,0.629,0.700,0.106,0.039,0.031,0.010,0.093,-0.016,2.302,2.351,75.4%,60.5%,67.6%,69.5%,61.3%,68.5%,0.008,0.003,0.123,0.123
122,10_15_21_W_8,,06/17/2023 00:27:56,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_W_8.771,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1833.577,1389.374,5.931,1.909,4423.761,464.205,7863.521,0.138,0.016,0.017,8.209,2.586,7.675,0.000,0.054,0.674,0.720,0.276,0.726,0.668,0.728,0.204,0.032,0.019,0.007,0.069,0.013,2.059,2.093,75.4%,60.2%,66.5%,69.7%,60.6%,67.9%,0.003,0.001,0.053,0.055
123,10_15_21_W_9,,06/17/2023 00:33:56,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_W_9.772,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1572.113,1292.755,9.549,1.809,3728.076,403.368,6875.895,0.116,0.031,0.034,9.073,2.319,8.407,-0.001,0.056,0.589,0.620,0.254,0.595,0.546,0.588,0.785,0.019,0.019,0.006,0.165,0.007,1.420,1.485,64.2%,59.7%,67.6%,69.7%,60.6%,68.4%,0.004,0.000,0.065,0.055
124,10_15_21_W_9,,06/17/2023 00:40:15,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_W_9.773,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1590.770,1274.717,8.766,1.849,3698.908,410.178,6898.263,0.118,0.030,0.038,9.099,2.280,8.524,-0.001,0.037,0.621,0.636,0.268,0.575,0.478,0.597,0.197,0.012,0.012,0.004,0.112,0.007,1.443,1.468,74.9%,59.5%,66.5%,68.8%,60.0%,66.9%,0.003,0.000,0.052,0.057
125,10_15_21_W_10,,06/17/2023 00:46:15,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_W_10.774,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1285.808,1505.785,30.723,2.923,3222.277,403.249,6651.236,0.152,0.034,0.034,25.710,5.200,23.658,0.007,0.049,0.869,0.890,1.080,0.653,0.641,0.666,0.161,0.033,0.023,0.008,0.046,-0.016,0.640,0.668,74.3%,59.1%,66.4%,68.9%,59.3%,66.0%,0.007,0.004,0.179,0.170
126,10_15_21_W_10,,06/17/2023 00:52:33,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_W_10.775,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1268.809,1473.163,31.201,2.782,3205.090,367.139,6757.814,0.150,0.026,0.032,25.616,5.249,23.876,0.007,0.041,0.862,0.881,1.092,0.609,0.486,0.684,0.075,0.033,0.017,0.009,0.061,-0.004,0.637,0.660,75.4%,59.5%,67.1%,69.8%,60.2%,66.3%,0.006,0.003,0.174,0.171
127,10_15_21_W_10_DUP,,06/17/2023 00:58:33,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_W_10_DUP.776,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1229.517,1420.728,28.767,2.839,3184.337,382.239,6571.024,0.144,0.058,0.063,24.983,5.024,22.738,0.006,0.044,0.851,0.882,0.970,0.598,0.544,0.672,0.241,0.006,0.010,-0.001,0.071,-0.004,0.624,0.638,75.8%,59.9%,68.0%,68.5%,59.9%,66.8%,0.007,0.003,0.162,0.165
128,10_15_21_W_10_DUP,,06/17/2023 01:04:52,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_W_10_DUP.777,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1247.109,1458.054,27.638,2.850,3208.961,387.261,6409.587,0.145,0.055,0.057,25.264,5.029,22.996,0.006,0.048,0.860,0.871,0.954,0.621,0.603,0.690,0.167,0.006,0.019,0.014,0.123,-0.010,0.613,0.651,73.6%,58.7%,66.4%,68.3%,58.7%,65.1%,0.008,0.003,0.161,0.159
129,LBLANK,,06/17/2023 01:10:52,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.778,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,54.381,0.802,-0.995,-0.537,462.221,59.963,39.895,0.001,-0.010,-0.002,-0.587,-0.001,-0.457,-0.008,0.000,-0.011,-0.013,-0.235,0.004,-0.011,-0.003,-0.036,0.006,0.004,-0.011,-0.022,-0.016,-0.003,0.003,75.5%,60.3%,68.9%,69.1%,59.2%,66.5%,0.001,-0.002,-0.010,-0.004
130,LBLANK,,06/17/2023 01:17:12,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.779,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,54.872,0.236,-0.953,-0.808,506.475,61.338,39.906,-0.001,-0.008,-0.002,-0.586,-0.001,-0.347,-0.007,0.002,-0.011,-0.011,-0.227,0.066,-0.011,-0.004,-0.215,0.006,0.002,-0.006,-0.002,-0.021,-0.003,0.003,78.7%,60.3%,67.6%,68.8%,58.7%,66.0%,0.001,-0.002,-0.011,-0.004
131,CCV 1ppb TRACE,,06/17/2023 01:23:12,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.780,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,972.387,1032.794,1.264,0.080,1454.550,1054.132,1036.129,1.018,1.032,1.054,0.897,0.994,0.960,1.001,0.963,1.023,1.043,0.800,0.896,1.067,0.959,1.105,0.868,1.030,0.954,0.957,1.080,0.982,1.019,73.1%,59.5%,66.7%,67.9%,58.3%,65.0%,0.971,0.997,1.164,1.087
132,CCV 1ppb TRACE,,06/17/2023 01:29:31,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.781,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,965.459,962.072,1.094,0.110,1521.441,1017.048,1037.815,1.022,1.032,1.067,0.939,1.007,0.957,0.986,0.984,1.005,1.034,0.830,0.915,1.020,0.971,1.174,0.959,1.029,0.989,0.955,1.079,0.986,1.001,73.0%,59.3%,67.1%,67.0%,58.0%,66.0%,0.975,0.978,1.156,1.137
133,CCV 10 ppb MAJORS,,06/17/2023 01:35:32,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.782,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9198.899,9642.584,8.807,8.804,10567.557,9467.174,10040.521,9.947,10.295,10.389,10.233,10.276,9.200,9.930,9.465,9.813,9.993,10.210,9.510,10.014,9.840,10.106,9.966,9.874,9.982,10.022,9.930,9.869,10.320,71.8%,55.5%,63.0%,64.8%,55.8%,62.6%,9.745,9.809,10.391,10.556
134,CCV 10 ppb MAJORS,,06/17/2023 01:41:51,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.783,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9210.932,9666.512,9.534,8.785,10531.841,9347.625,10086.307,9.985,10.145,10.613,10.274,10.218,9.223,9.879,9.572,9.685,10.141,10.270,9.495,9.719,9.840,10.164,10.020,9.906,9.970,10.309,10.156,9.923,10.231,74.4%,57.4%,64.9%,66.5%,57.5%,65.0%,9.740,9.771,10.219,10.425
135,10_15_21_W_11,,06/17/2023 01:47:51,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_W_11.784,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1202.065,1500.040,41.945,2.823,3194.184,398.391,6621.696,0.172,0.043,0.047,33.972,5.717,31.339,0.011,0.058,1.029,1.094,1.700,0.626,0.601,0.700,-0.049,0.019,0.006,0.011,0.015,-0.004,0.563,0.559,81.8%,59.9%,66.7%,69.3%,59.9%,67.7%,0.006,0.007,0.185,0.206
136,10_15_21_W_11,,06/17/2023 01:54:10,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_W_11.785,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1185.539,1477.330,40.491,3.054,2985.420,371.505,6594.021,0.174,0.040,0.045,34.235,5.683,30.707,0.010,0.055,0.996,1.089,1.693,0.736,0.744,0.719,0.100,0.033,0.024,0.001,0.045,-0.004,0.560,0.577,73.5%,58.2%,65.5%,68.0%,58.7%,66.8%,0.009,0.005,0.215,0.204
137,10_15_21_F_1,,06/17/2023 02:00:09,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_1.786,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10219.373,6847.869,1.927,6.414,32544.098,2787.010,45317.190,0.195,0.067,0.075,12.227,19.924,12.157,0.025,0.397,0.777,0.838,1.252,2.785,2.583,2.819,0.616,0.093,0.069,0.047,0.522,0.046,21.339,21.833,71.7%,55.5%,62.6%,71.7%,55.6%,60.9%,0.009,0.008,3.600,3.103
138,10_15_21_F_1,,06/17/2023 02:06:28,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_1.787,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10386.991,7032.346,1.945,6.302,32560.420,2844.999,45525.228,0.207,0.067,0.074,12.462,20.095,12.459,0.024,0.348,0.767,0.844,1.288,2.723,2.559,2.824,0.689,0.083,0.071,0.048,0.454,0.074,21.236,21.928,73.1%,57.6%,62.9%,64.9%,58.1%,63.5%,0.010,0.008,3.497,3.497
139,10_15_21_F_1_DUP,,06/17/2023 02:12:28,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_1_DUP.788,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9901.017,6587.379,1.105,5.115,30527.517,2650.462,42640.337,0.203,0.053,0.051,11.610,19.308,11.699,0.023,0.357,0.707,0.780,1.254,2.690,2.453,2.730,0.698,0.081,0.057,0.051,0.506,0.072,20.320,20.843,71.5%,58.5%,63.6%,64.9%,58.9%,65.7%,0.011,0.006,0.051,0.054
140,10_15_21_F_1_DUP,,06/17/2023 02:18:46,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_1_DUP.789,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,10138.952,6771.210,1.157,5.172,30874.079,2702.428,43277.590,0.177,0.046,0.050,11.642,19.188,11.825,0.021,0.351,0.728,0.771,1.236,2.695,2.276,2.705,0.661,0.053,0.084,0.039,0.477,0.042,20.110,20.773,71.8%,59.0%,64.0%,65.7%,59.2%,65.0%,0.009,0.007,0.048,0.050
141,10_15_21_F_6,,06/17/2023 02:24:45,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_6.790,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9629.911,7669.119,11.255,2.327,24141.970,2245.827,41752.868,0.568,0.080,0.086,18.779,8.235,18.777,0.016,0.283,2.008,2.128,4.978,2.873,2.688,2.892,0.691,0.136,0.100,0.100,0.501,0.031,11.431,11.707,71.8%,58.9%,63.2%,72.7%,59.7%,64.5%,0.015,0.012,0.091,0.079
142,10_15_21_F_6,,06/17/2023 02:31:03,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_6.791,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9430.877,7611.316,11.052,2.327,24142.790,2294.784,41845.466,0.542,0.082,0.090,18.656,8.236,18.202,0.020,0.311,2.025,2.083,5.089,2.788,2.544,2.964,0.535,0.167,0.078,0.068,0.465,0.097,11.422,11.822,70.8%,57.7%,62.3%,64.1%,58.4%,63.7%,0.016,0.015,0.092,0.093
143,10_15_21_F_6_LD,,06/17/2023 02:37:02,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_6_LD.792,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9320.032,7348.164,11.938,4.626,23009.217,2170.484,40625.025,0.523,0.085,0.094,15.532,8.229,15.180,0.023,0.305,1.994,2.070,4.979,2.820,2.591,2.913,0.638,0.090,0.097,0.064,0.488,0.085,11.458,11.738,70.8%,57.7%,62.4%,65.9%,58.2%,64.5%,0.016,0.014,0.089,0.090
144,10_15_21_F_6_LD,,06/17/2023 02:43:20,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_6_LD.793,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9444.129,7475.209,11.822,5.300,23798.820,2237.406,41932.451,0.549,0.083,0.089,15.842,8.202,15.538,0.026,0.308,2.027,2.136,5.052,2.690,2.684,2.915,0.432,0.090,0.087,0.091,0.407,0.074,11.751,11.746,73.4%,57.5%,61.0%,63.5%,57.6%,63.5%,0.018,0.013,0.085,0.092
145,LBLANK,,06/17/2023 02:49:20,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.794,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,54.151,0.236,-0.989,-0.128,465.433,59.806,41.496,0.000,-0.008,-0.001,-0.588,0.000,-0.231,-0.007,0.005,-0.008,-0.011,-0.229,0.056,-0.003,-0.003,-0.041,0.006,0.006,-0.010,0.007,-0.016,-0.006,0.004,83.0%,62.4%,68.2%,69.2%,61.4%,67.1%,0.001,-0.003,-0.011,-0.004
146,CCV 1ppb TRACE,,06/17/2023 02:55:21,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.795,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1005.788,1048.408,1.304,0.348,1727.138,1054.977,1057.608,1.086,1.081,1.104,0.975,1.011,1.080,0.991,1.066,1.041,1.068,0.837,0.865,1.013,0.982,1.226,0.895,0.962,0.921,0.967,0.945,0.986,1.025,73.8%,61.8%,67.7%,70.3%,60.2%,67.1%,0.999,0.986,1.131,1.072
147,CCV 1ppb TRACE,,06/17/2023 03:01:39,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.796,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,1039.188,1046.497,1.175,0.137,1691.083,1014.649,1058.595,1.032,1.051,1.114,0.952,1.021,1.206,1.049,1.038,1.047,1.080,0.821,0.923,0.973,0.997,1.020,0.831,1.029,0.993,0.820,0.960,0.993,1.008,77.7%,60.6%,66.4%,68.2%,60.4%,66.8%,0.958,0.968,1.051,1.071
148,LFB,,06/17/2023 03:07:39,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.797,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9123.337,9345.985,9.373,11.674,10722.598,9204.839,9932.150,9.615,10.052,10.234,9.729,9.973,9.107,9.643,9.319,9.648,9.805,9.816,9.511,9.790,9.816,10.254,10.717,10.095,10.094,10.367,10.310,9.582,9.878,71.5%,55.9%,62.6%,61.5%,56.6%,63.1%,9.521,9.560,9.917,10.443
149,LFB,,06/17/2023 03:13:57,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.798,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8972.123,9656.042,9.657,11.996,10536.256,9338.006,9596.564,9.780,10.045,10.204,9.831,9.960,9.193,9.712,9.121,9.631,9.886,9.812,9.331,9.445,9.794,10.198,9.798,10.191,10.111,10.071,10.015,9.510,9.940,72.5%,56.4%,62.7%,64.0%,56.4%,63.4%,9.509,9.602,9.669,10.036
150,CCV 10 ppb MAJORS,,06/17/2023 03:19:56,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.799,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9501.973,10048.527,9.321,9.502,10864.316,9851.013,10385.043,10.321,10.567,10.631,10.502,10.387,9.870,10.160,9.681,10.089,10.215,10.387,9.491,10.348,9.917,10.594,9.896,10.022,10.101,10.247,10.755,9.902,10.337,73.6%,56.9%,63.7%,65.2%,57.6%,63.5%,9.711,9.719,10.031,10.350
151,CCV 10 ppb MAJORS,,06/17/2023 03:26:14,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.800,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9456.666,9965.139,9.530,9.257,10804.966,9722.074,10241.177,10.357,10.513,10.799,10.478,10.515,9.604,10.188,9.687,9.986,10.251,10.472,9.342,9.777,9.969,10.102,9.790,9.905,10.154,9.690,10.400,10.047,10.359,75.3%,57.2%,63.8%,65.7%,58.1%,65.0%,9.732,9.808,9.794,10.332
152,10_15_21_F_6_DUP,,06/17/2023 03:32:14,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_6_DUP.801,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8811.115,6992.372,6.800,2.379,22820.066,2141.821,39844.155,0.504,0.082,0.093,10.205,7.741,10.371,0.025,0.314,1.989,2.072,4.883,2.766,2.645,2.837,0.590,0.107,0.066,0.072,0.462,0.052,11.242,11.466,69.1%,55.7%,61.5%,63.1%,55.9%,62.5%,0.019,0.014,0.104,0.108
153,10_15_21_F_6_DUP,,06/17/2023 03:38:32,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_6_DUP.802,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8910.304,7051.866,7.183,2.359,22781.293,2139.869,40020.173,0.502,0.093,0.097,9.939,7.832,10.493,0.027,0.292,1.991,2.038,4.869,3.014,2.650,2.864,0.684,0.057,0.079,0.095,0.533,0.065,10.949,11.570,64.3%,54.9%,61.7%,60.6%,56.1%,61.7%,0.018,0.015,0.117,0.115
154,10_15_21_F_6_DUP_LSP,,06/17/2023 03:44:32,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_6_DUP_LSP.803,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,17563.389,16273.832,16.946,14.310,31736.495,11646.916,46706.987,10.693,10.429,10.560,20.309,17.514,19.485,9.982,9.579,11.297,11.593,14.395,12.138,11.985,12.420,10.563,10.078,10.009,10.016,10.557,9.490,20.165,20.954,69.2%,53.8%,59.5%,61.0%,55.0%,60.1%,9.357,9.437,9.852,10.143
155,10_15_21_F_6_DUP_LSP,,06/17/2023 03:50:52,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_6_DUP_LSP.804,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,18749.741,17093.008,18.522,15.175,33563.157,12318.199,49989.225,11.352,11.210,10.702,20.588,17.844,20.769,10.625,10.133,11.997,11.746,14.527,12.069,12.398,12.378,10.539,10.371,10.065,9.834,10.562,10.230,20.368,20.919,70.0%,54.3%,59.6%,61.3%,55.5%,58.4%,9.549,9.555,9.795,10.157
156,10_15_21_F_9,,06/17/2023 03:56:52,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_9.805,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8102.706,6954.451,4.835,2.982,18217.274,1955.688,36413.193,0.578,0.110,0.128,7.975,4.731,8.326,0.013,0.235,2.363,2.411,4.125,2.628,2.629,2.755,0.422,0.071,0.083,0.066,0.387,0.052,7.381,7.565,69.9%,55.8%,60.7%,62.6%,56.6%,62.3%,0.013,0.008,0.087,0.090
157,10_15_21_F_9,,06/17/2023 04:03:12,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_9.806,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8150.124,6942.834,4.830,2.429,18057.990,1921.034,36289.541,0.560,0.106,0.125,7.901,4.768,8.058,0.010,0.224,2.331,2.427,4.029,2.661,2.591,2.751,0.625,0.071,0.071,0.048,0.432,0.077,7.333,7.547,69.6%,55.4%,60.6%,62.3%,56.2%,61.6%,0.015,0.009,0.089,0.092
158,10_15_21_F_10,,06/17/2023 04:09:13,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_10.807,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,6299.004,7642.853,5.376,3.953,14518.378,1736.916,34055.424,0.637,0.131,0.142,7.113,5.392,7.612,0.012,0.334,1.395,1.457,3.226,2.909,2.711,3.178,0.535,0.144,0.080,0.067,0.366,0.018,3.200,3.513,69.1%,53.0%,60.9%,63.3%,55.4%,61.4%,0.008,0.005,0.238,0.228
159,10_15_21_F_10,,06/17/2023 04:15:32,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_10.808,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,6195.392,7319.399,5.684,3.772,14253.637,1690.353,33381.662,0.607,0.127,0.161,8.526,5.084,7.329,0.009,0.322,1.396,1.734,3.817,2.932,2.685,2.997,0.414,0.102,0.077,0.074,0.328,0.072,3.777,3.326,68.8%,54.7%,54.1%,62.1%,55.7%,61.5%,0.008,0.006,0.236,0.233
160,10_15_21_F_10_DUP,,06/17/2023 04:21:32,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_F_10_DUP.809,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,6217.952,7506.678,6.141,3.506,14037.018,1770.134,34553.191,0.641,0.099,0.096,6.874,4.993,7.437,0.012,0.155,1.316,1.321,2.582,2.483,2.655,2.672,0.651,0.050,0.059,0.045,0.308,0.029,3.064,3.279,70.2%,54.3%,61.7%,63.4%,55.3%,60.2%,0.009,0.004,0.383,0.359
