 ,Sample Id,R,Acquisition Time,QC Status,Dataset File,Method File,"Na KED 23/23
Helium KED_Low
(ppb)","Mg KED 24/24
Helium KED_Low
(ppb)","Al KED 27/27
Helium KED_Low
(ppb)","P Oshift 31/47
Oxygen DRC
(ppb)","S (34) -1 34/34
Helium KED_Low
(ppb)","K KED 39/39
Helium KED_Low
(ppb)","Ca KED 43/43
Helium KED_Low
(ppb)","V KED 51/51
Helium KED_Low
(ppb)","Cr (52) 52/52
Helium KED_Low
(ppb)","Cr (53) NH3 53/53
Ammonia DRC
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Mn Oshift 55/71
Oxygen DRC
(ppb)","Fe (56) KED 56/56
Helium KED_Low
(ppb)","Co KED 59/59
Helium KED_Low
(ppb)","Ni KED 60/60
Helium KED_Low
(ppb)","Cu (63) KED 63/63
Helium KED_Low
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As 75/75
(ppb)","As KED 75/75
Helium KED_Low
(ppb)","As  RH Oshift 75/91
Oxygen DRC
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (77) 77/77
(ppb)","Se (77) Oshift 77/93
Oxygen DRC
(ppb)","Se (78) Oshift 78/94
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Se (82) 82/82
(ppb)","Se (82) Oshift 82/98
Oxygen DRC
(ppb)","Y 89/89
(ppb)","Y (EDR) 89/89
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Mo (95) OShift 95/127
Oxygen DRC
(ppb)",Rh (IS1) 103/103 (IS),"Rh (IS2) 103/103 (IS)
Oxygen DRC","Rh (IS3) 103/103 (IS)
Helium KED_Low","Rh (IS4) 103/103 (IS)
Ammonia DRC","Rh (IS5) 103/103 (IS)
Ammonia DRC","Rh (IS6) 103/103 (IS)
Oxygen DRC","Rh OShift (IS1) 103/119 (IS)
Oxygen DRC","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Cd (114) NH3 114/114
Ammonia DRC
(ppb)","In 115/115
(ppb)","Pb 208/208
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
120,DBLANK,R,5/16/2023 3:08,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\DBLANK.117,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,127.068,61.029,0.471,9.658,933.472,135.859,146.355,0.081,0.013,0.011,0.415,0.001,0.518,0,0.002,0.087,0.086,-0.164,-0.035,0.024,0.329,0.003,0.11,-0.024,-0.007,-0.006,0.005,-0.001,,,-0.001,0.004,96.60%,85.60%,104.20%,89.00%,90.00%,86.80%,89.40%,0,0.001,,0.012,0.013
121,LFB,R,5/16/2023 3:14,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.118,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,2797.453,2784.528,7.506,4.508,3408.99,2544.064,2640.011,2.679,2.68,2.572,2.595,2.714,2.769,2.679,2.812,2.62,2.603,2.322,2.466,2.563,2.756,2.66,2.301,2.602,2.703,2.72,2.589,2.488,,,2.591,2.678,96.80%,80.70%,99.30%,86.10%,86.00%,83.90%,82.60%,2.565,2.529,,2.194,2.364
122,MFB,R,5/16/2023 3:20,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\MFB.119,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,6380.666,6709.99,7.857,15.48,5906.165,5137.176,6383.291,6.75,7.125,6.983,6.897,6.675,6.779,6.842,7.195,6.646,6.733,5.943,5.474,6.014,5.412,5.712,5.265,5.358,5.397,5.428,5.734,5.188,,,6.422,6.279,97.20%,86.70%,104.40%,87.60%,87.00%,85.20%,91.00%,6.234,6.227,,5.257,5.597
123,LBLANK,R,5/16/2023 3:26,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.120,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,126.284,58.09,-0.085,1.166,900.664,140.16,146.727,0.081,-0.003,0.004,-0.101,-0.001,0.059,0.001,0.008,-0.105,-0.104,-0.192,-0.048,0.016,0.33,0.004,0.136,-0.018,-0.004,-0.004,-0.068,0.011,,,0,0.005,95.70%,86.30%,103.00%,89.10%,90.10%,82.10%,94.40%,0,0.001,,0,0
124,CCV 1ppb,R,5/16/2023 3:31,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.121,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1230.989,1122.266,0.991,1.08,1883.529,1101.732,1124.27,1.147,1.068,1.08,0.951,1.054,1.058,1.097,1.139,1.01,1.012,0.799,0.946,1.037,1.197,0.974,0.87,0.916,1.071,0.929,0.887,0.931,,,1.033,1.023,100.90%,85.30%,103.30%,87.60%,88.40%,86.00%,89.10%,1.006,1.009,,0.85,0.955
125,CCV 1ppb,R,5/16/2023 3:38,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.122,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1273.653,1207.753,1.075,0.88,2243.206,1115.231,1276.325,1.199,1.148,1.012,0.895,1.017,1.132,1.131,1.17,1.03,0.986,0.784,0.924,1.107,1.159,0.936,0.973,0.962,0.942,0.902,0.981,0.848,,,1.006,0.967,99.80%,89.10%,97.90%,91.50%,91.40%,83.90%,93.50%,0.978,0.995,,0.878,0.947
126,CCV 10 ppb,R,5/16/2023 3:43,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.123,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10842.921,10443.115,10.358,10.594,10286.786,9553.005,9921.941,10.351,10.343,10.749,10.255,10.272,9.726,10.385,10.572,10.332,10.845,9.902,10.123,10.412,9.191,10.021,9.464,10.386,10.099,10.12,10.53,9.798,,,10.661,10.047,90.50%,80.80%,99.70%,81.30%,84.00%,80.80%,85.30%,10.321,10.354,,8.912,8.853
127,CCV 10 ppb,R,5/16/2023 3:50,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.124,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10852.018,10313.806,10.326,10.536,10792.218,9820.214,10374.185,10.967,10.792,10.402,10.279,10.379,9.796,10.746,11.074,10.765,10.49,9.591,10.023,10.018,9.327,10.112,9.474,10.038,9.973,9.784,10.578,9.427,,,10.423,10.059,92.20%,81.50%,96.80%,83.40%,82.60%,81.90%,85.50%,10.095,10.117,,8.734,9.052
128,T-239,R,5/16/2023 3:55,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\T-239.125,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,57299.401,15211.838,138.621,16.261,1625.02,4049.211,59273.021,2.39,1.742,1.834,53.306,4.623,49.969,1.724,2.128,0.841,0.98,7.03,2.667,2.465,2.708,2.654,4.892,1.963,2.046,1.977,2.359,2.049,,,1.315,1.266,86.90%,77.10%,93.90%,76.70%,79.90%,75.70%,80.50%,3.948,3.833,,1.133,1.238
129,7_20_21_W_1,R,5/16/2023 4:01,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W1.126,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1394.149,1066.953,7.906,6.86,3855.807,391.602,6003.737,0.157,0.019,0.023,8.546,5.846,7.871,0.009,0.061,0.435,0.476,0.062,1.054,1.001,1.28,1.114,0.154,0.004,0.005,0.01,0.072,0.016,,,2.436,2.403,97.10%,83.80%,109.70%,86.80%,89.90%,83.20%,91.60%,0.003,0.004,,0.034,0.037
130,7_20_21_W_6,R,5/16/2023 4:07,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W6.127,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1771.787,1240.236,10.275,4.178,3417.634,426,6548.055,0.258,0.017,0.023,10.714,5.236,10.559,0.011,0.057,1.194,1.189,0.567,1.33,1.273,1.497,1.338,0.169,-0.001,0.015,0.014,0.016,0.016,,,1.401,1.358,95.20%,84.30%,104.00%,85.80%,88.30%,85.70%,90.00%,0.005,0.006,,0.08,0.084
131,7_20_21_W_8,R,5/16/2023 4:13,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W8.128,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1999.953,1376.888,9.381,5.225,3058.824,441.159,6337.816,0.313,0.015,0.019,9.026,5.742,9.204,0.009,0.055,1.043,1.034,0.362,1.457,1.357,1.604,1.445,0.095,0.009,0.02,0.015,0.086,0.033,,,1.038,0.998,96.30%,85.40%,103.30%,88.00%,88.80%,85.40%,90.20%,0.004,0.006,,0.063,0.067
132,7_20_21_W_8 DUP,R,5/16/2023 4:18,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W8 DUP.129,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1941.535,1314.529,9.452,5.101,3122.336,479.081,6376.999,0.291,0.031,0.03,10.328,5.893,10.586,0.01,0.056,1.659,1.639,0.608,1.506,1.344,1.529,1.394,0.181,-0.007,0.005,0.014,0.084,0.003,,,0.992,0.989,91.90%,85.00%,100.30%,86.40%,82.70%,84.40%,92.00%,0.005,0.004,,0.071,0.077
133,7_20_21_W_8 DUP LD,R,5/16/2023 4:24,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W8 DUP LD.130,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1826.461,1283.792,10.787,4.957,2911.904,462.941,6160.181,0.296,0.018,0.024,10.491,6.285,10.216,0.009,0.047,1.589,1.64,0.571,1.655,1.262,1.628,1.551,0.314,-0.001,0.017,0.012,0.034,0.008,,,1.011,1.053,82.30%,79.10%,104.40%,85.10%,86.80%,83.50%,87.90%,0.005,0.005,,0.08,0.069
134,7_20_21_W_8 DUP LD,R,5/16/2023 4:30,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W8 DUP LD.131,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1918.24,1379.272,11.456,4.896,3071.431,488.844,6460.14,0.3,0.018,0.025,10.477,6.022,10.577,0.011,0.045,1.667,1.67,0.598,1.444,1.186,1.559,1.408,0.114,-0.007,0.008,0.012,0.055,0.004,,,1.013,1.006,95.50%,84.30%,102.40%,86.80%,86.70%,85.00%,90.00%,0.006,0.005,,0.065,0.071
135,7_20_21_W_8 DUP LSP,R,5/16/2023 4:36,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W8 DUP LSP.132,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,4308.891,3735.007,13.362,8.12,4952.758,2614.304,8677.298,2.786,2.53,2.614,12.81,8.672,12.386,2.572,2.711,4.09,4.258,3.081,3.881,3.617,3.762,4.003,2.382,2.527,2.588,2.466,2.542,2.692,,,3.59,3.557,95.30%,81.40%,103.80%,85.00%,87.50%,78.70%,88.60%,2.512,2.474,,2.255,2.338
136,7_20_21_W_8 DUP LSP,R,5/16/2023 4:42,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W8 DUP LSP.133,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,4376.168,3728.721,12.603,7.902,5100.625,2680.51,8611.707,2.832,2.514,2.641,13.316,8.265,12.64,2.539,2.627,4.191,4.364,3.139,4.471,3.526,3.778,3.843,2.971,2.529,2.417,2.474,3.143,2.393,,,3.626,3.382,87.70%,85.90%,103.40%,85.20%,85.90%,82.50%,89.60%,2.561,2.574,,2.568,2.502
137,7_20_21_W_9,R,5/16/2023 4:48,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W9.134,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1417.942,1212.405,10.778,5.48,2452.503,390.591,5410.433,0.268,0.021,0.026,10.84,3.725,9.573,0.008,0.057,0.867,0.995,0.397,1.077,0.909,1.308,1.125,0.12,-0.012,0.008,0.007,0.056,0.003,,,0.705,0.659,93.80%,83.00%,107.90%,82.10%,85.60%,82.10%,88.80%,0.005,0.005,,0.062,0.064
138,LBLANK,R,5/16/2023 4:53,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.135,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,125.171,58.09,-0.095,0.151,907.757,130.407,144.147,0.081,-0.002,0.003,-0.1,0,0.048,0.001,0.003,-0.104,-0.105,-0.189,-0.045,0.01,0.327,0,0.069,-0.007,-0.004,-0.006,-0.014,0.008,,,0,0.004,93.30%,83.30%,100.40%,86.50%,87.60%,83.70%,85.90%,0,0.001,,0,-0.001
139,CCV 1ppb,R,5/16/2023 4:59,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.136,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1270.736,1129.583,0.87,0.686,1885.509,1042.951,1146.745,1.102,1.095,1.065,0.939,1.042,1.056,1.071,1.146,1.009,1.002,0.807,0.975,1.05,1.208,0.987,1.098,0.992,0.943,1,0.912,0.903,,,1.033,1.04,95.20%,84.00%,98.90%,85.60%,87.50%,82.40%,87.90%,1.003,1.01,,0.919,0.936
140,CCV 1ppb,R,5/16/2023 5:05,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.137,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1168.326,1107.656,0.907,0.663,1685.477,1121.886,1129.222,1.097,1.04,1.065,0.948,1.038,0.984,1.073,1.084,1.037,1.005,0.813,0.931,1.1,1.165,0.966,0.836,1.119,0.966,0.972,0.999,0.908,,,1.035,1.028,96.40%,82.70%,102.80%,85.90%,87.40%,82.10%,89.00%,1.032,1.017,,0.91,0.937
141,CCV 10 ppb,R,5/16/2023 5:11,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.138,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10868.027,10132.121,10.755,10.272,10896.892,9589.913,10394.144,10.747,10.715,10.362,9.938,10.405,9.88,10.835,10.991,10.563,10.47,9.524,9.864,10.452,8.764,10.108,9.161,10.662,10.185,10.217,10.176,9.931,,,10.273,10.212,90.30%,78.80%,95.50%,81.40%,81.00%,78.10%,88.20%,9.943,9.98,,8.676,9.09
142,CCV 10 ppb,R,5/16/2023 5:17,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.139,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,11121.656,10656.219,9.974,10.195,10713.8,9845.847,10496.199,11.014,11.071,10.693,10.198,10.174,10.198,11.005,11.549,10.916,10.567,9.723,10.381,10.702,9.221,9.922,9.772,10.102,10.07,9.789,10.635,9.249,,,10.623,10,88.20%,81.00%,93.40%,82.20%,83.20%,81.50%,84.20%,10.183,10.176,,8.891,8.739
143,7_20_21_W_10,R,5/16/2023 5:23,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W10.140,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1485.961,1734.17,10.78,4.431,3742.938,463.434,6733.014,0.272,0.275,0.288,10.995,2.904,10.064,0.039,0.069,0.807,0.852,0.402,1.199,1.295,1.369,1.206,0.085,-0.001,0.029,0.013,0.106,0.042,,,0.559,0.524,92.50%,84.20%,104.40%,82.30%,86.20%,83.50%,91.10%,0.004,0.005,,0.048,0.049
144,7_20_21_W_11,R,5/16/2023 5:29,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W11.141,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1492.453,1642.424,4.628,3.628,3632.751,491.794,6830.677,0.266,0.016,0.027,3.193,1.077,3.334,0.008,0.046,0.674,0.706,0.128,1.185,1.176,1.419,1.223,0.164,-0.006,0.027,0.016,-0.009,0.022,,,0.545,0.545,91.40%,81.10%,98.90%,84.20%,85.20%,83.00%,84.70%,0.004,0.005,,0.022,0.024
145,7_20_21_W_11 DUP,R,5/16/2023 5:35,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF1.142,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,128.014,58.09,-0.131,-0.627,-1442.939,122.211,152.65,0.081,-0.004,0.003,-0.12,-0.001,-0.649,0.002,-0.001,-0.103,-0.104,-0.203,0.572,0.01,0.326,-0.001,-1.062,-0.018,-0.007,-0.007,-0.061,-0.001,,,-0.002,0.003,83.60%,81.80%,88.10%,89.30%,83.10%,83.50%,89.50%,0,0,,-0.001,-0.001
146,7_20_21_UF_1,R,5/16/2023 5:40,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF6.143,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7171.855,5751.057,2.452,9.442,16029.495,1394.38,31835.105,0.498,0.05,0.055,0.257,10.212,0.61,0.024,0.263,0.515,0.534,0.689,4.586,4.235,4.334,4.647,0.374,0.041,0.023,0.05,0.332,0.027,,,8.578,8.253,92.00%,80.00%,95.10%,82.10%,85.10%,80.30%,86.70%,0.008,0.011,,0.018,0.019
147,7_20_21_UF_6,R,5/16/2023 5:46,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF8.144,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10871.317,6763.441,0.766,4.643,12960.366,1971.992,34032.836,1.066,0.155,0.118,0.743,18.508,1.212,0.024,0.228,1.698,1.698,1.67,5.915,5.377,5.197,5.766,0.323,0.057,0.098,0.091,0.312,0.076,,,4.016,3.935,90.00%,80.40%,91.70%,81.40%,74.80%,79.70%,89.10%,0.013,0.013,,0.032,0.039
148,7_20_21_UF_8,R,5/16/2023 5:52,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF9.145,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,11498.174,6581.786,0.875,9.032,11546.948,2011.567,31592.636,1.176,0.083,0.063,1.401,19.353,1.774,0.023,0.174,1.547,1.652,1.171,5.817,5.326,5.218,5.839,0.29,0.064,0.072,0.082,0.323,0.077,,,4.029,3.898,91.60%,79.60%,95.20%,81.50%,82.50%,78.50%,88.70%,0.014,0.015,,0.044,0.047
149,7_20_21_UF_9,R,5/16/2023 5:58,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF10.146,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,7886.788,5842.236,0.68,9.419,8425.707,1516.149,25301.429,0.935,0.054,0.061,0.423,7.184,0.75,0.011,0.132,1.198,1.203,0.697,4.631,3.902,3.798,4.062,0.472,0.062,0.068,0.058,0.341,0.061,,,2.398,2.298,83.70%,82.30%,98.30%,82.10%,76.20%,81.60%,89.90%,0.009,0.01,,0.034,0.036
150,7_20_21_UF_10,R,5/16/2023 6:03,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF10 DUP.147,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,8244.885,8296.485,0.801,6.312,13666.575,1953.135,33654.135,0.941,0.129,0.128,0.802,7.869,1.253,0.012,0.17,1.248,1.284,1.114,4.47,4.49,4.55,4.944,0.126,0.064,0.1,0.089,0.299,0.072,,,2.171,2.132,98.70%,80.10%,95.10%,82.30%,81.40%,78.40%,87.50%,0.007,0.011,,0.049,0.058
151,7_20_21_UF_10,R,5/16/2023 6:10,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF10 DUP.148,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,8375.67,8183.676,0.722,6.439,14070.075,2004.839,33263.638,0.919,0.127,0.128,0.829,7.886,1.26,0.014,0.182,1.254,1.299,1.135,4.834,4.766,4.398,4.895,0.266,0.05,0.081,0.084,0.313,0.083,,,2.201,2.151,91.40%,81.70%,96.40%,82.50%,84.80%,81.00%,91.80%,0.01,0.011,,0.055,0.06
152,LFB,R,5/16/2023 6:15,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.149,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,2767.874,2549.15,7.807,2.599,2997.519,2546.953,2501.178,2.626,2.644,2.694,2.467,2.522,2.423,2.648,2.718,2.566,2.668,2.345,2.498,2.698,2.559,2.482,2.305,2.506,2.474,2.471,2.606,2.374,,,2.595,2.476,92.70%,82.80%,98.50%,82.80%,85.10%,80.30%,86.00%,2.552,2.557,,2.217,2.354
153,UF10 DUP,R,5/16/2023 6:21,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\UF11.150,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,8515.041,8678.848,0.927,6.406,14257.165,1961.745,35968.07,0.927,0.052,0.052,0.193,7.804,0.685,0.02,0.18,1.265,1.261,1.12,4.887,4.711,4.444,4.869,0.332,0.123,0.083,0.084,0.368,0.077,,,2.145,2.156,89.90%,79.50%,92.00%,81.60%,81.60%,79.40%,87.90%,0.01,0.009,,0.054,0.056
154,LBLANK,R,5/16/2023 6:27,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.151,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,126.963,60.424,-0.052,-0.447,1137.957,131.155,144.147,0.082,-0.003,0.004,-0.101,-0.001,0.11,0.002,0.006,-0.101,-0.105,-0.193,-0.043,0.01,0.332,0.006,0.069,-0.018,0,-0.003,-0.029,0.008,,,-0.001,0.004,92.20%,81.80%,89.60%,88.90%,86.10%,82.40%,86.10%,0,0.001,,0,-0.001
155,CCV 1ppb,R,5/16/2023 6:33,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.152,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1191.67,1061.047,0.895,0.563,1754.679,1105.959,1087.562,1.089,1.045,1.044,0.94,1.057,0.901,1.062,1.068,0.982,0.977,0.808,0.925,1.107,1.182,0.998,0.98,0.961,0.924,0.97,0.932,0.91,,,1.027,0.993,96.00%,83.70%,100.10%,87.00%,87.80%,81.70%,91.10%,1.011,1.002,,0.896,0.943
156,CCV 1ppb,R,5/16/2023 6:39,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.153,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1211.522,986.75,1.02,0.555,1780.795,1109.931,1103.314,1.134,0.997,1.073,0.949,1.048,1.022,1.044,1.085,0.973,1.023,0.828,0.971,1.192,1.197,0.992,1.008,0.986,0.931,1.043,1.068,0.929,,,1.054,1.012,93.60%,83.50%,103.20%,84.90%,87.10%,82.20%,88.90%,1.007,1.016,,0.903,0.952
157,CCV 10 ppb,R,5/16/2023 6:45,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.154,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,11017.571,11053.033,10.866,10.467,11256.618,9752.716,10814,11.233,11.279,10.977,10.213,10.558,10.488,11.443,11.625,11.051,10.867,9.932,9.689,10.761,9.411,10.263,9.015,10.766,10.223,10.231,9.709,9.857,,,10.762,10.258,92.40%,76.70%,90.90%,78.30%,79.00%,76.60%,80.90%,10.4,10.452,,8.475,9.206
158,CCV 10 ppb,R,5/16/2023 6:51,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.155,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10652.007,10433.801,9.84,10.623,10540.142,9265.059,10159.226,10.412,10.453,10.723,10.264,10.505,9.518,10.31,10.747,10.358,10.706,9.618,10.006,9.967,8.932,10.155,9.383,10.917,9.977,9.906,10.302,9.522,,,10.482,10.203,88.30%,78.70%,97.50%,80.30%,81.30%,79.20%,86.90%,9.977,10.054,,8.744,9.05
